text,label
Your account has been suspended click here,phishing
Verify your bank account immediately,phishing
Congratulations you won a lottery claim now,phishing
Update your password immediately,phishing
You have won $1000 click to claim,phishing
Your PayPal account needs verification,phishing
Urgent action required verify account,phishing
Your bank account has unusual activity,phishing
Reset your password immediately,phishing
Click here to confirm your identity,phishing
Meeting scheduled tomorrow at 10am,safe
Please review the attached document,safe
Lunch meeting today,safe
Project discussion tomorrow,safe
Team meeting postponed,safe
Reminder about tomorrow's presentation,safe
Please send the project report,safe
Let's catch up tomorrow,safe
